index,source_id,qid,relation
155,final_questions_round7_bundle_merged::TR_Gasventing+129+Journal_of_Power_Sources__TR_Gasventing+130+Journal_of_Power_Sources__TR_Gasventing+131+Journal_of_Power_Sources,Q2,solver_only_correct
156,final_questions_round7_bundle_merged::TR_Gasventing+129+Journal_of_Power_Sources__TR_Gasventing+130+Journal_of_Power_Sources__TR_Gasventing+131+Journal_of_Power_Sources,Q3,both_correct
158,final_questions_round7_bundle_merged::TR_Gasventing+132+Journal_of_Power_Sources__TR_Gasventing+133+Journal_of_Power_Sources__TR_Gasventing+134+Fire_Safety_Journal,Q2,rag_only_correct
159,final_questions_round7_bundle_merged::TR_Gasventing+132+Journal_of_Power_Sources__TR_Gasventing+133+Journal_of_Power_Sources__TR_Gasventing+134+Fire_Safety_Journal,Q3,both_correct
160,final_questions_round7_bundle_merged::TR_Gasventing+135+Fire_Safety_Journal__TR_Gasventing+136+Fuel__TR_Gasventing+137+Journal_of_Loss_Prevention_in_the_Process_Industries,Q3,both_wrong
162,final_questions_round7_bundle_merged::TR_Gasventing+138+Journal_of_Loss_Prevention_in_the_Process_Industries__TR_Gasventing+139+Journal_of_Loss_Prevention_in_the_Process_Industries__TR_Gasventing+140+Journal_of_Loss_Prevention_in_the_Process_Industries,Q2,rag_only_correct
164,final_questions_round7_bundle_merged::TR_Gasventing+141+Journal_of_Loss_Prevention_in_the_Process_Industries__TR_Gasventing+142+Journal_of_Loss_Prevention_in_the_Process_Industries__TR_Gasventing+143+Journal_of_Loss_Prevention_in_the_Process_Industries,Q2,both_correct
165,final_questions_round7_bundle_merged::TR_Gasventing+144+Journal_of_Loss_Prevention_in_the_Process_Industries__TR_Gasventing+145+Journal_of_Loss_Prevention_in_the_Process_Industries__TR_Gasventing+146+Journal_of_Loss_Prevention_in_the_Process_Industries,Q2,rag_only_correct
166,final_questions_round7_bundle_merged::TR_Gasventing+150+Journal_of_Loss_Prevention_in_the_Process_Industries__TR_Gasventing+151+Process_Safety_and_Environmental_Protection__TR_Gasventing+152+Process_Safety_and_Environmental_Protection,Q2,rag_only_correct
168,final_questions_round7_bundle_merged::TR_Gasventing+153+Process_Safety_and_Environmental_Protection__TR_Gasventing+154+Process_Safety_and_Environmental_Protection__TR_Gasventing+155+Process_Safety_and_Environmental_Protection,Q3,rag_only_correct
169,final_questions_round7_from42sets_merged::TR_Gasventing+117+Journal_of_Power_Sources,Q1,rag_only_correct
170,final_questions_round7_from42sets_merged::TR_Gasventing+117+Journal_of_Power_Sources,Q3,rag_only_correct
172,final_questions_round7_from42sets_merged::TR_Gasventing+118+Journal_of_Power_Sources,Q3,both_correct
174,final_questions_round7_from42sets_merged::TR_Gasventing+119+Journal_of_Power_Sources,Q1,both_wrong
176,final_questions_round7_from42sets_merged::TR_Gasventing+120+Journal_of_Power_Sources,Q1,rag_only_correct
177,final_questions_round7_from42sets_merged::TR_Gasventing+122+Journal_of_Power_Sources,Q2,both_correct
179,final_questions_round7_from42sets_merged::TR_Gasventing+123+Journal_of_Power_Sources,Q1,solver_only_correct
182,final_questions_round7_from42sets_merged::TR_Gasventing+125+Fuel,Q2,rag_only_correct
183,final_questions_round7_from42sets_merged::TR_Gasventing+125+Fuel,Q3,both_correct
185,final_questions_round7_from42sets_merged::TR_Gasventing+126+Journal_of_Power_Sources,Q3,both_correct
187,final_questions_round7_from42sets_merged::TR_Gasventing+127+Journal_of_Power_Sources,Q1,both_correct
188,final_questions_round7_from42sets_merged::TR_Gasventing+128+Journal_of_Power_Sources,Q2,rag_only_correct
189,final_questions_round7_from42sets_merged::TR_Gasventing+128+Journal_of_Power_Sources,Q3,both_correct
190,final_questions_round7_from42sets_merged::TR_Gasventing+129+Journal_of_Power_Sources,Q3,both_wrong
191,final_questions_round7_from42sets_merged::TR_Gasventing+130+Journal_of_Power_Sources,Q3,both_wrong
192,final_questions_round7_from42sets_merged::TR_Gasventing+131+Journal_of_Power_Sources,Q2,both_correct
193,final_questions_round7_from42sets_merged::TR_Gasventing+131+Journal_of_Power_Sources,Q3,both_correct
195,final_questions_round7_from42sets_merged::TR_Gasventing+132+Journal_of_Power_Sources,Q1,solver_only_correct
196,final_questions_round7_from42sets_merged::TR_Gasventing+132+Journal_of_Power_Sources,Q2,solver_only_correct
197,final_questions_round7_from42sets_merged::TR_Gasventing+132+Journal_of_Power_Sources,Q3,both_wrong
200,final_questions_round7_from42sets_merged::TR_Gasventing+134+Fire_Safety_Journal,Q2,rag_only_correct
201,final_questions_round7_from42sets_merged::TR_Gasventing+134+Fire_Safety_Journal,Q3,both_wrong
203,final_questions_round7_from42sets_merged::TR_Gasventing+135+Fire_Safety_Journal,Q2,rag_only_correct
206,final_questions_round7_from42sets_merged::TR_Gasventing+138+Journal_of_Loss_Prevention_in_the_Process_Industries,Q1,both_correct
207,final_questions_round7_from42sets_merged::TR_Gasventing+138+Journal_of_Loss_Prevention_in_the_Process_Industries,Q3,rag_only_correct
209,final_questions_round7_from42sets_merged::TR_Gasventing+139+Journal_of_Loss_Prevention_in_the_Process_Industries,Q2,rag_only_correct
210,final_questions_round7_from42sets_merged::TR_Gasventing+139+Journal_of_Loss_Prevention_in_the_Process_Industries,Q3,rag_only_correct
212,final_questions_round7_from42sets_merged::TR_Gasventing+140+Journal_of_Loss_Prevention_in_the_Process_Industries,Q1,both_correct
213,final_questions_round7_from42sets_merged::TR_Gasventing+140+Journal_of_Loss_Prevention_in_the_Process_Industries,Q2,both_correct
214,final_questions_round7_from42sets_merged::TR_Gasventing+140+Journal_of_Loss_Prevention_in_the_Process_Industries,Q3,both_correct
216,final_questions_round7_from42sets_merged::TR_Gasventing+141+Journal_of_Loss_Prevention_in_the_Process_Industries,Q1,both_correct
218,final_questions_round7_from42sets_merged::TR_Gasventing+142+Journal_of_Loss_Prevention_in_the_Process_Industries,Q2,both_correct
220,final_questions_round7_from42sets_merged::TR_Gasventing+143+Journal_of_Loss_Prevention_in_the_Process_Industries,Q1,both_correct
222,final_questions_round7_from42sets_merged::TR_Gasventing+146+Journal_of_Loss_Prevention_in_the_Process_Industries,Q1,both_correct
223,final_questions_round7_from42sets_merged::TR_Gasventing+146+Journal_of_Loss_Prevention_in_the_Process_Industries,Q2,rag_only_correct
224,final_questions_round7_from42sets_merged::TR_Gasventing+146+Journal_of_Loss_Prevention_in_the_Process_Industries,Q3,both_wrong
226,final_questions_round7_from42sets_merged::TR_Gasventing+147+Fuel,Q3,rag_only_correct
228,final_questions_round7_from42sets_merged::TR_Gasventing+149+Journal_of_Loss_Prevention_in_the_Process_Industries,Q3,rag_only_correct
229,final_questions_round7_from42sets_merged::TR_Gasventing+150+Journal_of_Loss_Prevention_in_the_Process_Industries,Q1,rag_only_correct
230,final_questions_round7_from42sets_merged::TR_Gasventing+150+Journal_of_Loss_Prevention_in_the_Process_Industries,Q2,rag_only_correct
232,final_questions_round7_from42sets_merged::TR_Gasventing+151+Process_Safety_and_Environmental_Protection,Q1,both_correct
234,final_questions_round7_from42sets_merged::TR_Gasventing+152+Process_Safety_and_Environmental_Protection,Q2,rag_only_correct
235,final_questions_round7_from42sets_merged::TR_Gasventing+152+Process_Safety_and_Environmental_Protection,Q3,rag_only_correct
237,final_questions_round7_from42sets_merged::TR_Gasventing+153+Process_Safety_and_Environmental_Protection,Q2,both_correct
239,final_questions_round7_from42sets_merged::TR_Gasventing+154+Process_Safety_and_Environmental_Protection,Q3,both_correct
240,final_questions_round7_from42sets_merged::TR_Gasventing+155+Process_Safety_and_Environmental_Protection,Q1,both_correct
241,final_questions_round7_from42sets_merged::TR_Gasventing+155+Process_Safety_and_Environmental_Protection,Q3,rag_only_correct
243,final_questions_round7_from42sets_merged::TR_Gasventing+157+Process_Safety_and_Environmental_Protection,Q2,both_wrong
,final_questions::TR_Dynamics+1+UnknownJournal__TR_Dynamics+2+Batteries__TR_Dynamics+3+UnknownJournal,Q1,both_correct
,final_questions::TR_Dynamics+1+UnknownJournal__TR_Dynamics+2+Batteries__TR_Dynamics+3+UnknownJournal,Q3,both_correct
,final_questions::TR_Gasventing+1+UnknownJournal__TR_Gasventing+2+Journal_of_Hazardous_Materials__TR_Gasventing+3+Journal_of_Energy_Storage,Q3,both_correct
,final_questions::TR_Mechanism+1+UnknownJournal__TR_Mechanism+2+UnknownJournal__TR_Mechanism+3+UnknownJournal,Q3,both_correct
,final_questions::TR_Modelling+1+UnknownJournal__TR_Modelling+2+Applied_Energy__TR_Modelling+3+Journal_of_Energy_Storage,Q2,both_wrong
,final_questions::TR_trigger+1+Applied_Thermal_Engineering__TR_trigger+2+ENERGY_andamp;_ENVIRONMENTAL_MATERIALS__TR_trigger+3+International_Journal_of_Heat_and_Mass_Transfer,Q2,both_correct
,final_questions::产气机理__产气机理2__产气机理3,Q1,both_wrong
,final_questions::气体排放65__气体排放79__气体排放81,Q3,both_correct
,final_questions::热失控传播行为1__热失控传播行为2__热失控传播行为3,Q2,both_correct
,final_questions_newdata_success_merged::TR_Gasventing+13+Journal_of_Hazardous_Materials__TR_Gasventing+14+Journal_of_Energy_Storage__TR_Gasventing+15+Journal_of_Energy_Storage,Q3,solver_only_correct
,final_questions_newdata_success_merged::TR_Gasventing+22+Journal_of_Energy_Storage__TR_Gasventing+23+Journal_of_Energy_Storage__TR_Gasventing+24+Journal_of_Hazardous_Materials,Q1,both_correct
,final_questions_newdata_success_merged::TR_Gasventing+22+Journal_of_Energy_Storage__TR_Gasventing+23+Journal_of_Energy_Storage__TR_Gasventing+24+Journal_of_Hazardous_Materials,Q3,both_correct
